,DATETIME,DT15,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,temp,dew_point,feels_like,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,hour,minute,weekday,is_weekend,hour_sin,hour_cos,min_sin,min_cos,TIME_TO_PARADE_1_is_na,TIME_TO_PARADE_2_is_na,TIME_TO_NIGHT_SHOW_is_na,WAIT_TIME_IN_2H
0,2022-02-05 11:45:00+00:00,2022-02-05 11:45:00+00:00,Water Ride,247.0,0,20,0.0,0.0,0.0,6.0175,4.9725,3.63,1026.75,93.0,3.15,0.38375,0.139064920693471,64.0,11,45,5,1,0.258819045102521,-0.9659258262890684,-1.0,-1.8369701987210297e-16,1,1,1,30.0
1,2019-02-24 10:45:00+00:00,2019-02-24 10:45:00+00:00,Water Ride,247.0,0,30,375.0,0.0,495.0,7.92,-3.815,6.01,1035.75,41.75,3.0025,0.1624232456140351,0.3473620365005794,0.0,10,45,6,1,0.4999999999999999,-0.8660254037844386,-1.0,-1.8369701987210297e-16,0,1,0,25.0
2,2021-07-17 15:45:00+00:00,2021-07-17 15:45:00+00:00,Pirate Ship,280.5,0,35,0.0,0.0,0.0,21.77,17.7675,22.04,1025.0,78.0,4.5325,0.243329081632653,0.1845725667527993,100.0,15,45,5,1,-0.7071067811865471,-0.707106781186548,-1.0,-1.8369701987210297e-16,1,1,1,35.0
3,2022-04-03 19:45:00+00:00,2022-04-03 19:45:00+00:00,Pirate Ship,230.35,0,15,-135.0,0.0,195.0,6.865,-3.62,5.275,1023.0,45.5,2.3425,0.2422282608695652,0.4610115606936417,86.5,19,45,6,1,-0.9659258262890685,0.25881904510252035,-1.0,-1.8369701987210297e-16,0,1,0,10.0
4,2021-10-20 10:30:00+00:00,2021-10-20 10:30:00+00:00,Pirate Ship,153.0,0,15,0.0,0.0,0.0,15.14,13.245,15.02,1010.5,88.5,6.885,1.0,0.1813070628768303,79.5,10,30,2,0,0.4999999999999999,-0.8660254037844386,5.66553889764798e-16,-0.9999999999999999,1,1,1,10.0
5,2022-05-30 09:15:00+00:00,2022-05-30 09:15:00+00:00,Flying Coaster,176.4,0,5,495.0,0.0,825.0,11.97,8.0825,11.2375,1014.0,77.25,3.26,0.215,1.48,0.75,9,15,0,0,0.7071067811865477,-0.7071067811865475,0.9999999999999999,2.83276944882399e-16,0,1,0,10.0
6,2019-09-22 11:45:00+00:00,2019-09-22 11:45:00+00:00,Water Ride,247.0,0,15,345.0,0.0,555.0,21.32,13.7525,21.1225,1007.0,62.0,5.84,0.1100706214689265,0.4130761152954809,97.0,11,45,6,1,0.258819045102521,-0.9659258262890684,-1.0,-1.8369701987210297e-16,0,1,0,30.0
7,2019-01-10 14:30:00+00:00,2019-01-10 14:30:00+00:00,Water Ride,247.0,0,15,120.0,0.0,210.0,4.215,0.99,0.42,1028.0,79.5,4.875,0.1162195121951219,0.3783988764044944,95.5,14,30,3,0,-0.4999999999999997,-0.8660254037844387,5.66553889764798e-16,-0.9999999999999999,0,1,0,15.0
8,2020-08-20 10:30:00+00:00,2020-08-20 10:30:00+00:00,Water Ride,247.0,0,20,0.0,0.0,0.0,25.06,19.31,25.465,1005.5,70.5,3.775,0.221875,0.3594554508460056,47.5,10,30,3,0,0.4999999999999999,-0.8660254037844386,5.66553889764798e-16,-0.9999999999999999,1,1,1,25.0
9,2022-02-03 16:00:00+00:00,2022-02-03 16:00:00+00:00,Pirate Ship,148.75,0,30,0.0,0.0,0.0,7.04,5.19,4.6,1017.0,88.0,3.58,0.1563999999999999,0.1400331980818886,100.0,16,0,3,0,-0.8660254037844383,-0.5000000000000003,0.0,1.0,1,1,1,20.0
10,2019-08-28 19:30:00+00:00,2019-08-28 19:30:00+00:00,Flying Coaster,756.0,0,25,-120.0,0.0,210.0,26.63,18.85,27.46,1015.0,62.5,2.915,0.4116666666666667,0.4053555909617613,71.5,19,30,2,0,-0.9659258262890685,0.25881904510252035,5.66553889764798e-16,-0.9999999999999999,0,1,0,15.0
11,2020-09-30 12:00:00+00:00,2020-09-30 12:00:00+00:00,Pirate Ship,119.0,0,10,0.0,0.0,0.0,16.94,15.63,17.09,1015.0,92.0,2.41,0.1804761904761904,0.3879503105590062,97.0,12,0,2,0,1.2246467991473532e-16,-1.0,0.0,1.0,1,1,1,20.0
12,2019-02-19 10:45:00+00:00,2019-02-19 10:45:00+00:00,Water Ride,224.5,0,15,375.0,0.0,495.0,7.705,5.397500000000001,7.4775,1023.0,85.5,1.29,0.1887390350877193,0.3457977259559676,77.0,10,45,1,0,0.4999999999999999,-0.8660254037844386,-1.0,-1.8369701987210297e-16,0,1,0,25.0
13,2018-12-15 09:45:00+00:00,2018-12-15 09:45:00+00:00,Flying Coaster,756.0,0,10,435.0,125.0,735.0,-0.555,-2.65,-4.625,1023.0,84.0,3.54,1.5360826771653542,0.2204346026490066,99.5,9,45,5,1,0.7071067811865477,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0,0,0,40.0
14,2021-10-30 13:00:00+00:00,2021-10-30 13:00:00+00:00,Pirate Ship,306.0,0,15,0.0,0.0,0.0,13.5,13.19,13.46,1000.0,98.0,4.94,0.12,0.1809589434395636,97.0,13,0,5,1,-0.25881904510252085,-0.9659258262890684,0.0,1.0,1,1,1,35.0
15,2022-04-03 09:45:00+00:00,2022-04-03 09:45:00+00:00,Pirate Ship,153.0,0,15,465.0,0.0,795.0,2.7475,-1.465,-1.0924999999999998,1024.0,72.75,4.31,0.2270108695652174,0.4020520231213873,0.75,9,45,6,1,0.7071067811865477,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0,1,0,45.0
16,2021-06-15 09:30:00+00:00,2021-06-15 09:30:00+00:00,Pirate Ship,52.7,0,5,0.0,0.0,0.0,21.355,16.625,21.49,1020.0,74.5,1.71,0.3263486842105263,0.1856840367499282,93.0,9,30,1,0,0.7071067811865477,-0.7071067811865475,5.66553889764798e-16,-0.9999999999999999,1,1,1,15.0
17,2022-07-06 14:45:00+00:00,2022-07-06 14:45:00+00:00,Water Ride,247.0,0,25,165.0,0.0,495.0,24.192500000000003,13.045,23.965,1026.0,49.75,2.885,0.125670731707317,1.48,45.25,14,45,2,0,-0.4999999999999997,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0,1,0,25.0
18,2019-09-07 12:15:00+00:00,2019-09-07 12:15:00+00:00,Flying Coaster,756.0,0,40,315.0,0.0,585.0,17.4075,9.2175,16.7375,1021.0,58.75,3.245,0.10975,0.4083897016222479,57.5,12,15,5,1,1.2246467991473532e-16,-1.0,0.9999999999999999,2.83276944882399e-16,0,1,0,50.0
19,2018-10-13 11:00:00+00:00,2018-10-13 11:00:00+00:00,Water Ride,224.5,0,30,390.0,70.0,660.0,20.64,15.42,20.64,1018.0,72.0,4.24,0.3600949367088608,,84.0,11,0,5,1,0.258819045102521,-0.9659258262890684,0.0,1.0,0,0,0,25.0
